"","start_temp","outside_temp","SA_temp","rate"
"2017",11.7,8.5,11.2,-0.00666666666666664
"2019",11.6,8.3,10.7,-0.00666666666666664
"2020",11.5,8.1,10.5,-0.00666666666666664
"2021",11.4,8.2,10.3,-0.00666666666666664
"2022",11.3,8.1,10.1,-0.00666666666666676
"2023",11.2,8.1,10,-0.00666666666666664
"2024",11.1,8,9.8,-0.00666666666666664
"2026",11,7.8,9.6,-0.00666666666666664
"2028",10.9,7.8,9.3,-0.0133333333333334
"2030",10.7,7.6,9,-0.00666666666666664
"2032",10.6,7.2,9,-0.00666666666666664
"2033",10.5,7.4,8.9,-0.0133333333333333
"2034",10.3,7.6,9.1,0.00666666666666664
"2036",10.4,7.2,8.8,-0.00666666666666664
"2037",10.3,7,8.8,-0.0133333333333334
"2038",21.2,12.6,21.6,-0.02
"2039",20.9,12.6,25.3,-0.133333333333333
"2040",18.9,12.7,24.6,-0.106666666666667
"2041",17.3,12.7,21.6,-0.0666666666666667
"2042",16.3,12.6,19.9,-0.0400000000000001
"2043",15.7,12.6,18.8,-0.0266666666666666
"2044",15.3,12.4,18.1,-0.0266666666666667
"2045",14.9,12.5,17.5,-0.00666666666666664
"2046",14.8,12.4,17.1,-0.00666666666666676
"2047",14.7,12.4,16.7,-0.0133333333333333
"2048",14.5,12.4,16.2,-0.00666666666666664
"2049",14.4,12.4,15.9,-0.0133333333333334
"2051",14.2,12.1,15.2,-0.00666666666666664
"2054",14.1,12,14.3,-0.00666666666666664
"2056",14,12.1,14,-0.00666666666666664
"2058",13.9,11.8,13.7,-0.00666666666666664
"2061",13.8,11.9,13.4,-0.00666666666666676
"2062",21.3,12,21.9,-0.153333333333333
"2063",19,12.2,21.7,-0.113333333333333
"2064",17.3,12.1,20.8,-0.0600000000000001
"2065",16.4,12.1,19.7,-0.0333333333333332
"2066",15.9,12.4,18.9,-0.02
"2067",15.6,12,18.4,-0.0266666666666667
"2068",15.2,11.8,17.8,-0.0199999999999999
"2069",14.9,11.9,17.4,-0.00666666666666664
"2070",14.8,11.6,17,-0.0133333333333334
"2071",14.6,11.7,16.6,-0.00666666666666664
"2072",14.5,11.8,16.3,-0.0133333333333333
"2073",14.3,11,16,-0.02
"2074",14,10.7,15.6,-0.0333333333333333
"2075",13.5,9.8,15.2,-0.0133333333333333
"2076",13.3,9.8,14.7,-0.0133333333333334
"2077",13.1,9.6,14,-0.0199999999999999
"2078",12.8,9.8,13.5,-0.00666666666666676
"2080",12.7,9.5,13.1,-0.0133333333333333
"2081",12.5,9.5,12.9,-0.00666666666666664
"2083",12.4,9.4,12,-0.00666666666666664
"2084",12.3,9.2,11.8,-0.00666666666666676
"2085",12.2,9,11.6,-0.00666666666666664
"2086",12.1,9.2,11.3,-0.00666666666666664
"2087",12,8.7,11.3,-0.02
"2088",11.7,8.6,11.1,-0.00666666666666664
"2090",11.6,8.8,10.8,-0.00666666666666664
"2091",21.2,14.2,21.6,-0.02
"2092",20.9,14,23.5,-0.0733333333333332
"2093",19.8,14,23.1,-0.0733333333333334
"2094",18.7,14.3,21.5,-0.0599999999999999
"2095",17.8,14.2,20.5,-0.0333333333333333
"2096",17.3,14.2,19.8,-0.0333333333333333
"2097",16.8,14.1,19.2,-0.0266666666666668
"2098",16.4,14,18.7,-0.0133333333333333
"2099",16.2,13.7,18.3,-0.0199999999999999
"2100",15.9,13.8,17.9,-0.00666666666666664
"2101",15.8,13.5,17.4,-0.0133333333333334
"2102",15.6,13.5,17.1,-0.00666666666666664
"2103",15.5,13.3,16.8,-0.0133333333333333
"2104",15.3,13.1,16.5,-0.0133333333333334
"2105",15.1,13,16.5,-0.0133333333333333
"2106",14.9,12.9,16.3,-0.00666666666666664
"2107",14.8,12.9,15.9,-0.00666666666666676
"2108",14.7,12.5,15.6,-0.00666666666666664
"2109",14.6,12.5,15.2,-0.00666666666666664
"2110",14.5,12.1,15,-0.00666666666666664
"2111",14.4,12.1,14.7,-0.0133333333333334
"2112",14.2,11.7,14.5,-0.00666666666666664
"2114",14.1,11.8,13.9,-0.00666666666666664
"2115",14,11.5,13.8,-0.00666666666666664
"2116",13.9,11.7,13.6,-0.00666666666666664
"2117",13.8,11.4,13.4,-0.00666666666666676
"2118",13.7,11.3,13.3,-0.00666666666666664
"2119",13.6,11.1,13.2,-0.0133333333333333
"2120",13.4,10.4,13,-0.00666666666666664
"2122",13.3,10.6,12.7,-0.02
"2123",13,10.7,13.2,-0.00666666666666664
"2124",12.9,10.6,13,-0.00666666666666664
"2125",12.8,10.5,12.9,-0.00666666666666676
"2126",12.7,10.4,12.9,-0.00666666666666664
"2127",12.6,10.3,12.7,-0.0133333333333333
"2129",12.4,10.1,12.7,-0.00666666666666664
"2130",12.3,10,12.6,-0.00666666666666676
"2132",12.2,10.1,12,-0.00666666666666664
"2133",21,13.2,22.8,-0.133333333333333
"2134",19,12.8,21.9,-0.12
"2135",17.2,12.6,20.9,-0.0599999999999999
"2136",16.3,12.6,19.9,-0.0466666666666667
"2137",15.6,12.6,19,-0.0266666666666667
"2138",15.2,12.4,18.4,-0.0133333333333333
"2139",15,12.3,17.9,-0.0133333333333333
"2140",14.8,12.2,17.4,-0.0133333333333334
"2141",14.6,12,17.1,-0.0133333333333333
"2142",14.4,11.9,16.7,-0.00666666666666664
"2143",14.3,11.7,16.3,-0.00666666666666676
"2144",14.2,11.7,16,-0.00666666666666664
"2146",14.1,11.6,15.5,-0.00666666666666664
"2147",14,11.8,15.3,-0.00666666666666664
"2149",13.9,11.6,15,-0.00666666666666664
"2150",13.8,11.6,14.8,-0.00666666666666676
"2152",13.7,11.2,14.5,-0.00666666666666664
"2153",13.6,11.2,14.4,-0.0133333333333333
"2154",13.4,10.8,14.2,-0.00666666666666664
"2155",13.3,10.8,14,-0.00666666666666676
"2156",13.2,10.5,13.8,-0.00666666666666664
"2157",13.1,10.4,13.7,-0.00666666666666664
"2158",13,10.4,13.5,-0.0133333333333333
"2161",12.8,10.2,13,-0.00666666666666676
"2162",12.7,10.4,12.9,-0.00666666666666664
"2163",12.6,10,12.9,-0.00666666666666664
"2166",12.5,9.8,12.7,-0.00666666666666664
"2167",12.4,9.8,12.6,-0.00666666666666664
"2168",12.3,9.6,12.4,-0.00666666666666676
"2169",12.2,9.2,12.3,-0.00666666666666664
"2170",12.1,9.1,12.1,-0.00666666666666664
"2172",12,9.2,12,-0.00666666666666664
"2173",11.9,9.2,11.9,-0.00666666666666664
"2174",11.8,9,11.8,-0.0133333333333334
"2178",11.6,8.6,11.2,-0.00666666666666664
"2179",11.5,8.5,11.1,-0.00666666666666664
"2180",11.4,8.7,11.1,-0.00666666666666664
"2181",11.3,8.4,10.9,-0.00666666666666676
"2182",11.2,8.4,10.8,-0.0133333333333333
"2183",21.3,15.7,22,-0.0266666666666668
"2184",20.9,15.6,24.4,-0.0733333333333332
"2185",19.8,15.6,24.8,-0.0799999999999999
"2186",18.6,15.6,22.6,-0.0466666666666669
"2187",17.9,15.7,21.1,-0.0333333333333333
"2188",17.4,15.6,20.2,-0.0266666666666666
"2189",17,15.4,19.6,-0.0133333333333333
"2190",16.8,15.3,19.1,-0.0133333333333333
"2191",16.6,15.5,18.8,-0.0133333333333335
"2192",16.4,15.5,18.4,-0.00666666666666652
"2194",16.3,15.2,17.9,-0.00666666666666676
"2195",16.2,14.7,17.6,-0.0133333333333333
"2196",16,14.5,17.4,-0.00666666666666664
"2197",15.9,14.4,17.3,-0.0133333333333334
"2198",15.7,14.4,17.1,-0.00666666666666664
"2200",15.6,14.3,16.7,-0.00666666666666664
"2201",15.5,14.4,16.5,-0.00666666666666664
"2204",15.4,14.5,15.9,-0.00666666666666664
